TIME                   DARCY FLUX
1.000000000000e+006    5.012468295224e-007         
2.000000000000e+006    5.036881099757e-007         
3.000000000000e+006    5.036980575337e-007         
4.000000000000e+006    5.036980971478e-007         
5.000000000000e+006    5.036980971554e-007         
6.000000000000e+006    5.036980971554e-007         
7.000000000000e+006    5.036980971554e-007         
8.000000000000e+006    5.036980971554e-007         
9.000000000000e+006    5.036980971554e-007         
1.000000000000e+007    5.036980971554e-007         
2.000000000000e+007    5.036980971554e-007         
3.000000000000e+007    5.036980971554e-007         
4.000000000000e+007    5.036980971554e-007         
5.000000000000e+007    5.036980971554e-007         
6.000000000000e+007    5.036980971554e-007         
7.000000000000e+007    5.036980971554e-007         
8.000000000000e+007    5.036980971554e-007         
9.000000000000e+007    5.036980971554e-007         
1.000000000000e+008    5.036980971554e-007         
1.100000000000e+008    5.036980971554e-007         
2.100000000000e+008    5.036980971554e-007         
3.100000000000e+008    5.036980971554e-007         
4.100000000000e+008    5.036980971554e-007         
5.100000000000e+008    5.036980971554e-007         
6.100000000000e+008    5.036980971554e-007         
7.100000000000e+008    5.036980971554e-007         
8.100000000000e+008    5.036980971554e-007         
9.100000000000e+008    5.036980971554e-007         
1.010000000000e+009    5.036980971554e-007         
1.110000000000e+009    5.036980971554e-007         
2.110000000000e+009    5.036980971554e-007         
3.110000000000e+009    5.036980971554e-007         
4.110000000000e+009    5.036980971554e-007         
5.110000000000e+009    5.036980971554e-007         
6.110000000000e+009    5.036980971554e-007         
7.110000000000e+009    5.036980971554e-007         
8.110000000000e+009    5.036980971554e-007         
9.110000000000e+009    5.036980971554e-007         
1.011000000000e+010    5.036980971554e-007         
1.111000000000e+010    5.036980971554e-007         
2.111000000000e+010    5.036980971554e-007         
3.111000000000e+010    5.036980971554e-007         
4.111000000000e+010    5.036980971554e-007         
5.111000000000e+010    5.036980971554e-007         
6.111000000000e+010    5.036980971554e-007         
7.111000000000e+010    5.036980971554e-007         
8.111000000000e+010    5.036980971554e-007         
9.111000000000e+010    5.036980971554e-007         
1.011100000000e+011    5.036980971554e-007         
1.111100000000e+011    5.036980971554e-007         
2.111100000000e+011    5.036980971554e-007         
3.111100000000e+011    5.036980971554e-007         
4.111100000000e+011    5.036980971554e-007         
5.111100000000e+011    5.036980971554e-007         
6.111100000000e+011    5.036980971554e-007         
7.111100000000e+011    5.036980971554e-007         
8.111100000000e+011    5.036980971554e-007         
9.111100000000e+011    5.036980971554e-007         
1.011110000000e+012    5.036980971554e-007         
1.111110000000e+012    5.036980971554e-007         
