TIME                   CONTENT
1.000000000000e+006    4.240144366200e+002
2.000000000000e+006    5.412099218851e+002
3.000000000000e+006    6.424454532368e+002
4.000000000000e+006    7.320617614624e+002
5.000000000000e+006    8.129524470426e+002
6.000000000000e+006    8.870937448590e+002
7.000000000000e+006    9.558647278396e+002
8.000000000000e+006    1.020247568090e+003
9.000000000000e+006    1.080956022209e+003
1.000000000000e+007    1.138519512761e+003
2.000000000000e+007    1.553830242483e+003
3.000000000000e+007    1.870637808887e+003
4.000000000000e+007    2.120951108153e+003
5.000000000000e+007    2.323996396051e+003
6.000000000000e+007    2.492271769345e+003
7.000000000000e+007    2.634295673865e+003
8.000000000000e+007    2.756074681203e+003
9.000000000000e+007    2.861962195790e+003
1.000000000000e+008    2.955187915471e+003
1.100000000000e+008    3.038196076485e+003
2.100000000000e+008    3.513648817456e+003
3.100000000000e+008    3.837434359086e+003
4.100000000000e+008    4.079079145469e+003
5.100000000000e+008    4.266889603231e+003
6.100000000000e+008    4.415288049120e+003
7.100000000000e+008    4.533306652618e+003
8.100000000000e+008    4.627399986670e+003
9.100000000000e+008    4.702490558523e+003
1.010000000000e+009    4.762438249963e+003
1.110000000000e+009    4.810303581101e+003
2.110000000000e+009    4.946157232139e+003
3.110000000000e+009    4.984717389617e+003
4.110000000000e+009    4.995662215316e+003
5.110000000000e+009    4.998768772001e+003
6.110000000000e+009    4.999650530740e+003
7.110000000000e+009    4.999900807354e+003
8.110000000000e+009    4.999971845361e+003
9.110000000000e+009    4.999992008645e+003
1.011000000000e+010    4.999997731751e+003
1.111000000000e+010    4.999999356185e+003
2.111000000000e+010    4.999999975457e+003
3.111000000000e+010    4.999999999065e+003
4.111000000000e+010    4.999999999965e+003
5.111000000000e+010    5.000000000000e+003
6.111000000000e+010    5.000000000001e+003
7.111000000000e+010    5.000000000001e+003
8.111000000000e+010    5.000000000001e+003
9.111000000000e+010    5.000000000001e+003
1.011100000000e+011    5.000000000001e+003
1.111100000000e+011    5.000000000001e+003
2.111100000000e+011    5.000000000001e+003
3.111100000000e+011    5.000000000001e+003
4.111100000000e+011    5.000000000001e+003
5.111100000000e+011    5.000000000001e+003
6.111100000000e+011    5.000000000001e+003
7.111100000000e+011    5.000000000001e+003
8.111100000000e+011    5.000000000001e+003
9.111100000000e+011    5.000000000001e+003
1.011110000000e+012    5.000000000001e+003
1.111110000000e+012    5.000000000001e+003
