TIME                   CONTENT
1.000000000000e+006    0.000000000000e+000
2.000000000000e+006    2.150563311471e-003
3.000000000000e+006    -1.149352396890e-002
4.000000000000e+006    4.698923812944e-003
5.000000000000e+006    2.790279351844e-002
6.000000000000e+006    2.841827934595e-002
7.000000000000e+006    -8.928666282723e-003
8.000000000000e+006    -8.128158320179e-002
9.000000000000e+006    -1.710677854653e-001
1.000000000000e+007    -2.510314259698e-001
2.000000000000e+007    1.593237984992e+001
3.000000000000e+007    5.188036141855e+001
4.000000000000e+007    1.049730031605e+002
5.000000000000e+007    1.713899668169e+002
6.000000000000e+007    2.476290995793e+002
7.000000000000e+007    3.308722362846e+002
8.000000000000e+007    4.189573229793e+002
9.000000000000e+007    5.102519611966e+002
1.000000000000e+008    6.035263159184e+002
1.100000000000e+008    6.978505074558e+002
2.100000000000e+008    1.530554942806e+003
3.100000000000e+008    2.219231385743e+003
4.100000000000e+008    2.776342379187e+003
5.100000000000e+008    3.223397121100e+003
6.100000000000e+008    3.581048876460e+003
7.100000000000e+008    3.866846165354e+003
8.100000000000e+008    4.095124154947e+003
9.100000000000e+008    4.277428297888e+003
1.010000000000e+009    4.423008025190e+003
1.110000000000e+009    4.539258432030e+003
2.110000000000e+009    4.869223927444e+003
3.110000000000e+009    4.962880779360e+003
4.110000000000e+009    4.989464155368e+003
5.110000000000e+009    4.997009527186e+003
6.110000000000e+009    4.999151190253e+003
7.110000000000e+009    4.999759075561e+003
8.110000000000e+009    4.999931616496e+003
9.110000000000e+009    4.999980590165e+003
1.011000000000e+010    4.999994490753e+003
1.111000000000e+010    4.999998436267e+003
2.111000000000e+010    4.999999940388e+003
3.111000000000e+010    4.999999997728e+003
4.111000000000e+010    4.999999999914e+003
5.111000000000e+010    4.999999999998e+003
6.111000000000e+010    5.000000000001e+003
7.111000000000e+010    5.000000000001e+003
8.111000000000e+010    5.000000000001e+003
9.111000000000e+010    5.000000000001e+003
1.011100000000e+011    5.000000000001e+003
1.111100000000e+011    5.000000000001e+003
2.111100000000e+011    5.000000000001e+003
3.111100000000e+011    5.000000000001e+003
4.111100000000e+011    5.000000000001e+003
5.111100000000e+011    5.000000000001e+003
6.111100000000e+011    5.000000000001e+003
7.111100000000e+011    5.000000000001e+003
8.111100000000e+011    5.000000000001e+003
9.111100000000e+011    5.000000000001e+003
1.011110000000e+012    5.000000000001e+003
1.111110000000e+012    5.000000000001e+003
