TIME                   CONTENT
1.000000000000e+006    1.225612681084e+009
2.000000000000e+006    1.243833778134e+009
3.000000000000e+006    1.261936987446e+009
4.000000000000e+006    1.279923999100e+009
5.000000000000e+006    1.297796467036e+009
6.000000000000e+006    1.315556010077e+009
7.000000000000e+006    1.333204213004e+009
8.000000000000e+006    1.350742627581e+009
9.000000000000e+006    1.368172773542e+009
1.000000000000e+007    1.385496139542e+009
2.000000000000e+007    1.549298531105e+009
3.000000000000e+007    1.704725044309e+009
4.000000000000e+007    1.852677444002e+009
5.000000000000e+007    1.993932408493e+009
6.000000000000e+007    2.129163458046e+009
7.000000000000e+007    2.258958060808e+009
8.000000000000e+007    2.383831173594e+009
9.000000000000e+007    2.504236110581e+009
1.000000000000e+008    2.620573380783e+009
1.100000000000e+008    2.733197959480e+009
2.100000000000e+008    3.652330232703e+009
3.100000000000e+008    4.443917697118e+009
4.100000000000e+008    5.148515362074e+009
5.100000000000e+008    5.788096121858e+009
6.100000000000e+008    6.375502343260e+009
7.100000000000e+008    6.918927388150e+009
8.100000000000e+008    7.424087955170e+009
9.100000000000e+008    7.895301226135e+009
1.010000000000e+009    8.336033337598e+009
1.110000000000e+009    8.749188387830e+009
2.110000000000e+009    1.140858943332e+010
3.110000000000e+009    1.322839207069e+010
4.110000000000e+009    1.454103603895e+010
5.110000000000e+009    1.553119407144e+010
6.110000000000e+009    1.630652862066e+010
7.110000000000e+009    1.693246057147e+010
8.110000000000e+009    1.745020576679e+010
9.110000000000e+009    1.788660946161e+010
1.011000000000e+010    1.825973739777e+010
1.111000000000e+010    1.858215984158e+010
2.111000000000e+010    1.994374616582e+010
3.111000000000e+010    2.053571446068e+010
4.111000000000e+010    2.079552513487e+010
5.111000000000e+010    2.090989421614e+010
6.111000000000e+010    2.096028604264e+010
7.111000000000e+010    2.098249523385e+010
8.111000000000e+010    2.099228429416e+010
9.111000000000e+010    2.099659907937e+010
1.011100000000e+011    2.099850094500e+010
1.111100000000e+011    2.099933924783e+010
2.111100000000e+011    2.099995172448e+010
3.111100000000e+011    2.099999647292e+010
4.111100000000e+011    2.099999974231e+010
5.111100000000e+011    2.099999998118e+010
6.111100000000e+011    2.099999999863e+010
7.111100000000e+011    2.099999999990e+010
8.111100000000e+011    2.100000000000e+010
9.111100000000e+011    2.100000000000e+010
1.011110000000e+012    2.100000000000e+010
1.111110000000e+012    2.100000000000e+010
