                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 2.065196413525e-005	 1.148280123276e-005	 1.006805627132e-003	 1.995272843444e-003	 9.131766523704e+000	 7.805450707957e-010	 7.735865351312e+000	 0.000000000000e+000	 0.000000000000e+000	
 3.280068274090e-005	 1.805804853748e-005	 1.011442566462e-003	 1.993399784210e-003	 9.308993692635e+000	 5.191170039589e-010	-4.530114513046e+000	 0.000000000000e+000	 0.000000000000e+000	
 3.280068274090e-005	 1.805804853748e-005	 1.011442566462e-003	 1.993399784210e-003	 9.308993692635e+000	 5.191170039589e-010	-4.530114513046e+000	 0.000000000000e+000	 0.000000000000e+000	
 5.214846785839e-005	 2.842302833690e-005	 1.019180677985e-003	 1.990910401999e-003	 9.478380735322e+000	 3.515840537548e-010	-5.384880809019e+000	 0.000000000000e+000	 0.000000000000e+000	
 5.214846785839e-005	 2.842302833690e-005	 1.019180677985e-003	 1.990910401999e-003	 9.478380735322e+000	 3.515840537548e-010	-5.384880809019e+000	 0.000000000000e+000	 0.000000000000e+000	
 8.607041084945e-005	 4.632856114099e-005	 1.033564046607e-003	 1.987644324744e-003	 9.650783611969e+000	 2.365323192115e-010	 8.153327917945e+000	 0.000000000000e+000	 0.000000000000e+000	
 8.607041084945e-005	 4.632856114099e-005	 1.033564046607e-003	 1.987644324744e-003	 9.650783611969e+000	 2.365323192115e-010	 8.153327917945e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.215071793645e-004	 6.532661094475e-005	 1.047886663498e-003	 1.983412127279e-003	 9.762618832643e+000	 1.829444636210e-010	 8.217118793994e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.424197732354e-004	 7.578290867375e-005	 1.058343131736e-003	 1.983412471472e-003	 9.812045786409e+000	 1.633263614947e-010	 8.129160949160e+000	 0.000000000000e+000	 3.238883016915e-005	
 1.415224313686e-004	 7.705364898080e-005	 1.053465880199e-003	 1.977994139041e-003	 9.810451542246e+000	 1.639146778491e-010	 8.613959342087e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.416471798688e-004	 7.711602323723e-005	 1.053528255435e-003	 1.977994141026e-003	 9.810722562433e+000	 1.638127858859e-010	 8.614136782400e+000	 0.000000000000e+000	 1.146331471155e-004	
 1.406480904423e-004	 7.890901208987e-005	 1.047309209594e-003	 1.971140212150e-003	 9.808991042998e+000	 1.644519131769e-010	-4.774605401633e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.406402053346e-004	 7.890506953548e-005	 1.047305266978e-003	 1.971140212025e-003	 9.808973782229e+000	 1.644584260088e-010	-4.812436559393e+000	 0.000000000000e+000	 1.150615337390e-004	
 1.393613527078e-004	 8.130037014156e-005	 1.039346372775e-003	 1.962570736146e-003	 9.806725417656e+000	 1.652926765868e-010	 8.485491373020e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.393468667973e-004	 8.129312718492e-005	 1.039339129706e-003	 1.962570735916e-003	 9.806693373767e+000	 1.653048296799e-010	 8.486260182501e+000	 0.000000000000e+000	 1.149089686719e-004	
 1.377359732101e-004	 8.447786396260e-005	 1.029247217896e-003	 1.951978178782e-003	 9.803816112925e+000	 1.663793526252e-010	-4.769136781961e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.377124461402e-004	 8.446610042468e-005	 1.029235454177e-003	 1.951978178408e-003	 9.803763369427e+000	 1.663994889072e-010	-4.744849602527e+000	 0.000000000000e+000	 1.148540674583e-004	
 1.357210437101e-004	 8.868452072511e-005	 1.016552277188e-003	 1.939031475259e-003	 9.800144843503e+000	 1.677615805909e-010	 8.561412286088e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.356839304767e-004	 8.866596410209e-005	 1.016533720283e-003	 1.939031474670e-003	 9.800060234672e+000	 1.677941530778e-010	 8.561957035424e+000	 0.000000000000e+000	 1.146733912735e-004	
 1.332733790579e-004	 9.423660120951e-005	 1.000727792483e-003	 1.923382001043e-003	 9.795598178801e+000	 1.694899741577e-010	 8.276850552058e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.332166570164e-004	 9.420824017584e-005	 1.000699431025e-003	 1.923382000144e-003	 9.795466161464e+000	 1.695413265774e-010	 8.267605381875e+000	 0.000000000000e+000	 1.144163623380e-004	
 1.303675624062e-004	 1.015448849502e-004	 9.811584549853e-004	 1.904671531279e-003	 9.790088173144e+000	 1.716088222259e-010	 8.434480343739e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.302838031953e-004	 1.015030053195e-004	 9.811165747426e-004	 1.904671529954e-003	 9.789888282365e+000	 1.716875586398e-010	 8.432728963797e+000	 0.000000000000e+000	 1.141570784786e-004	
 1.270137457299e-004	 1.111146311991e-004	 9.571701986529e-004	 1.882542148421e-003	 9.783595043344e+000	 1.741393689528e-010	 8.545417746147e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.268958880708e-004	 1.110557023225e-004	 9.571112689402e-004	 1.882542146561e-003	 9.783305336832e+000	 1.742551854671e-010	 8.549480969906e+000	 0.000000000000e+000	 1.136896420006e-004	
 1.232560579962e-004	 1.236026113089e-004	 9.279774172682e-004	 1.856647924811e-003	 9.776173849882e+000	 1.770757508624e-010	 8.481497591357e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.230975078752e-004	 1.235233361651e-004	 9.278981410435e-004	 1.856647922316e-003	 9.775770649683e+000	 1.772396897960e-010	 8.479853948270e+000	 0.000000000000e+000	 1.131694999068e-004	
